objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23766E+18,149.4334103,9.428014768,18.02616,16.7708,16.3782,16.07487,15.98728,1.47162E+18,GALAXY,0.04174444
1.23767E+18,176.1035288,30.60392142,19.30279,17.41726,16.50661,16.00956,15.5824,2.50186E+18,GALAXY,0.0585653
1.23765E+18,182.9858092,3.362845645,19.48162,17.8282,16.87521,16.38517,16.02051,5.83311E+17,GALAXY,0.132645
1.23766E+18,198.6249608,39.29684009,19.0364,18.06839,17.67199,17.34196,17.19531,2.35089E+18,GALAXY,0.07118886
1.23768E+18,42.48376075,-7.13869829,19.52473,18.00816,17.25988,16.81014,16.63928,5.13577E+17,GALAXY,0.1276555
1.23766E+18,209.9169907,41.69327434,19.46581,17.63177,16.67944,16.21083,15.82131,1.5155E+18,GALAXY,0.09566975
1.23767E+18,217.5579991,26.55624324,19.17931,17.97187,17.6039,17.40788,17.2396,2.39946E+18,GALAXY,0.03216122
1.23766E+18,236.8424583,27.92958865,18.9247,17.06065,16.13248,15.70926,15.34671,1.86113E+18,GALAXY,0.07651291
1.23766E+18,233.2904149,35.27558477,18.76245,17.52093,16.9637,16.55297,16.32391,1.57745E+18,GALAXY,0.09803595
1.23767E+18,165.5780631,33.44867242,18.70945,17.792,17.49835,17.30967,17.22541,2.37125E+18,GALAXY,0.02884638
1.23767E+18,350.6605867,15.39884799,16.71139,15.45321,14.77193,14.36727,14.1138,8.38917E+17,GALAXY,0.0426654
1.23766E+18,220.7168166,52.28099759,17.40928,16.08888,15.63213,15.38471,15.24003,1.49528E+18,GALAXY,0.02503742
1.23765E+18,36.79577863,-8.209334155,18.8572,17.7875,17.33107,17.01038,16.87471,5.11296E+17,GALAXY,0.05806381
1.23767E+18,197.4848455,21.29871764,19.16077,18.03096,17.65145,17.42281,17.31715,2.98485E+18,GALAXY,0.07278012
1.23768E+18,349.1726284,11.02659782,19.59979,17.82329,16.72531,16.24624,15.84736,6.92995E+18,GALAXY,0.1277269
1.23766E+18,147.0742227,8.619152667,18.93735,17.14139,16.30478,15.90382,15.58219,1.38953E+18,GALAXY,0.04803231
1.23767E+18,235.9419476,23.98261416,18.74105,17.81863,17.52085,17.36724,17.19597,2.44217E+18,GALAXY,0.02461082
1.23766E+18,125.0236774,54.55437036,19.4046,17.49001,16.6107,16.16267,15.84801,2.00642E+18,GALAXY,0.06814639
1.23766E+18,185.304561,67.54088177,19.43743,18.02185,17.25302,16.87508,16.57732,5.56288E+17,GALAXY,0.1226469
1.23767E+18,180.0698993,23.51110243,18.53138,17.38981,16.93602,16.69105,16.52761,2.98933E+18,GALAXY,0.0655186
1.23765E+18,160.2813867,2.826076408,19.09473,17.95109,17.41253,17.02408,16.87261,5.69809E+17,GALAXY,0.1095824
1.23766E+18,351.5152985,15.5484774,18.00671,16.75974,16.14903,15.72999,15.43464,8.38961E+17,GALAXY,0.0437957
1.23765E+18,23.94909286,15.25342097,18.07229,16.17716,15.35455,14.93893,14.62085,4.78676E+17,GALAXY,0.06918635
1.23766E+18,230.8158912,41.15492294,19.53749,18.39148,17.72769,17.37997,17.17367,1.88928E+18,GALAXY,0.1606792
1.23766E+18,162.5514668,6.513618942,18.99517,17.6974,17.04843,16.66757,16.41323,1.12707E+18,GALAXY,0.05467158
1.23767E+18,186.3506344,29.791997,18.47325,16.63707,15.72346,15.30964,15.0084,2.51303E+18,GALAXY,0.07410321
1.23767E+18,354.7759869,-0.437526644,17.33267,15.94467,15.24509,14.85174,14.58347,4.33544E+17,GALAXY,0.07153749
