objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23766E+18,129.9993653,58.34252002,19.50792,18.87764,18.06601,17.51514,17.2908,2.00873E+18,QSO,0.1425162
1.23766E+18,203.37758,10.88256619,18.59236,18.07486,18.06134,18.022,17.86765,1.91291E+18,QSO,0.745937
1.23765E+18,199.465457,67.53313688,15.45952,15.82849,16.08644,16.13538,16.14328,5.58557E+17,QSO,1.335646
1.23766E+18,156.7476401,35.88507742,19.31944,19.06146,18.81198,18.74884,18.90556,3.54901E+18,QSO,1.295322
1.23766E+18,155.1714556,39.96978344,19.59387,18.69516,18.29646,18.18658,17.92398,5.13199E+18,QSO,0.8266543
1.23767E+18,158.690434,22.88930994,18.47024,18.27533,17.98144,18.05263,18.15161,2.66515E+18,QSO,1.108088
1.23766E+18,238.8833729,3.843895508,18.96081,18.43695,17.65074,17.04214,16.79555,3.32257E+18,QSO,0.1389902
1.23768E+18,334.5429573,28.76619844,18.6415,17.52853,16.92622,16.5596,16.32574,8.60981E+18,QSO,0.08751484
1.23766E+18,129.8351917,4.468232141,18.99408,18.6004,18.01682,17.72947,17.44008,1.33533E+18,QSO,0.2518188
1.23766E+18,23.47990381,0.785777331,19.20609,19.10285,18.93727,18.77936,18.8075,4.76275E+18,QSO,1.47138
1.23767E+18,168.1509056,23.68220501,19.07727,18.96446,18.85358,18.62196,18.65778,2.80237E+18,QSO,1.601919
1.23765E+18,142.049484,0.090510868,19.32595,19.13206,19.16666,18.97475,18.96299,5.33827E+17,QSO,1.919466
1.23768E+18,326.0540804,24.95590232,17.47503,17.09435,16.96869,16.99933,16.90171,8.60089E+18,QSO,0.7514735
1.23766E+18,247.0642453,27.02873205,19.06156,18.8019,18.89328,18.71478,18.69679,1.58531E+18,QSO,0.547823
1.23766E+18,196.3423016,37.45476609,19.17048,19.05246,18.97445,18.69965,18.57086,2.2721E+18,QSO,1.924007
1.23767E+18,208.9591783,20.77070604,16.1581,15.94419,15.65592,15.3056,15.4757,3.11886E+18,QSO,0.1965366
1.23767E+18,155.4476073,24.89863747,19.57932,19.35645,19.2837,19.27677,19.17785,2.64153E+18,QSO,0.7825658
1.23766E+18,127.2290144,24.05013437,19.46045,19.13115,18.66609,18.61304,18.23023,1.08166E+19,QSO,0.304485
1.23768E+18,33.966148,-6.292696552,19.34029,19.14444,18.82534,18.85886,18.95708,8.14819E+18,QSO,1.225111
1.23766E+18,179.7682526,42.43809926,19.2966,19.21221,19.10749,19.25298,19.10298,9.43745E+18,QSO,1.028027
1.23766E+18,233.7727565,7.12968994,17.5484,17.23697,17.35148,17.33522,17.38056,2.04927E+18,QSO,0.6610256
1.23767E+18,343.6437306,30.28100446,19.50303,19.29124,19.22661,19.06368,19.10137,8.74621E+18,QSO,1.577501
1.23767E+18,148.4951826,24.88195111,19.24894,19.0585,18.96322,19.09219,18.96773,2.63589E+18,QSO,0.885506
1.23766E+18,220.5062748,53.07402786,18.74833,18.81796,18.48289,18.51236,18.62684,1.49424E+18,QSO,1.253706
1.23766E+18,210.2528114,56.97566539,18.87184,18.51251,18.57542,18.60851,18.65707,1.30497E+18,QSO,0.6437234
1.23766E+18,171.2214498,45.24330683,18.5766,18.3176,18.16659,18.09193,17.88219,7.48524E+18,QSO,2.144814
1.23766E+18,140.288685,30.68024983,19.01178,18.95612,18.78336,18.72737,18.84794,1.17592E+19,QSO,1.134289
1.23766E+18,156.5238165,42.02401918,19.58487,19.79861,19.52304,19.38811,18.73859,9.41613E+18,QSO,0.3611907
1.23766E+18,224.3552319,32.55018171,18.81253,17.46375,16.80033,16.4222,16.15705,1.85436E+18,QSO,0.07017209
1.23766E+18,191.732134,40.11713635,18.25272,18.15787,18.11116,17.99651,17.87011,2.23496E+18,QSO,1.96889
1.23766E+18,199.4888518,44.15530737,19.05159,18.86182,18.73137,18.43392,18.45254,7.45693E+18,QSO,1.837566
1.23767E+18,244.6714764,19.52337763,19.57155,19.60328,19.37428,19.51167,19.3546,2.48376E+18,QSO,1.344974
1.23767E+18,172.0473523,33.05210277,18.57803,18.57789,18.50914,18.58659,18.62222,2.36442E+18,QSO,0.965883
1.23766E+18,153.2842897,33.54350725,19.56253,19.25063,19.14311,19.11344,19.2216,2.19793E+18,QSO,1.765905
1.23766E+18,118.1638394,27.26177351,19.49903,19.38346,19.28834,19.37096,19.39488,9.6616E+17,QSO,1.322999
1.23766E+18,168.3163762,6.248366139,19.38996,19.28304,19.29996,19.04409,18.98576,1.13042E+18,QSO,1.794473
