objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23768E+18,22.76464747,16.70491494,17.67629,16.74471,16.39128,16.24747,16.14833,5.77487E+18,STAR,-0.000866332
1.23767E+18,121.784911,-8.183333023,17.09728,15.47438,15.22513,15.1594,15.33793,3.15936E+18,STAR,3.31E-05
1.23765E+18,5.748465296,-10.43371921,17.3866,16.39469,16.04789,15.9426,15.90237,2.15277E+18,STAR,-0.000335501
1.23767E+18,44.69354499,38.17729336,17.32559,16.38473,16.05174,15.91565,15.87002,2.74842E+18,STAR,-0.000783094
1.23767E+18,64.36399325,15.98325574,18.50773,16.84225,15.89614,15.43615,15.13401,3.01756E+18,STAR,-4.33E-05
1.23765E+18,130.6947428,0.59210721,17.7702,16.45531,15.96796,15.80974,15.75068,8.39045E+18,STAR,0.000144218
1.23767E+18,138.4158749,22.97372449,19.34538,18.45422,18.14804,18.01342,17.9883,6.50215E+18,STAR,-0.000132892
1.23767E+18,138.981885,3.234900302,19.50319,18.33738,18.01546,17.87892,17.86595,4.30338E+18,STAR,0.000937455
1.23765E+18,241.1426488,53.04851424,16.58668,15.20626,14.72304,14.57388,14.54968,2.45007E+18,STAR,-4.14E-05
1.23765E+18,7.493006381,-9.083956852,18.90254,16.30028,15.21988,14.78969,14.53626,3.49601E+18,STAR,-0.000132333
1.23766E+18,24.46036643,-0.417886073,18.89207,17.91167,17.78062,17.76192,17.75699,7.85929E+17,STAR,-0.000448747
1.23767E+18,257.7836882,41.81600084,19.14801,17.75793,17.24511,17.05787,17.13807,2.52996E+18,STAR,-6.82E-05
1.23765E+18,113.3716471,36.42276088,19.28676,19.08689,19.16456,19.26749,19.57181,4.85288E+17,STAR,9.96E-05
1.23768E+18,18.98674674,31.46961747,17.5299,16.05093,15.45974,15.24136,15.14289,2.29803E+18,STAR,-0.000264641
1.23767E+18,347.3115433,24.46067928,19.42706,18.30445,18.14548,18.08504,18.05404,8.67509E+18,STAR,-0.001023511
1.23767E+18,178.322205,4.650203948,19.09672,16.60736,15.47774,15.00129,14.74908,3.65587E+18,STAR,-6.07E-05
1.23766E+18,161.1329549,50.3484521,19.21016,18.34347,17.99648,17.90896,17.87543,9.86386E+17,STAR,-0.000280974
1.23766E+18,125.1072394,33.23158087,18.8968,17.97385,17.66699,17.53485,17.51722,5.00592E+18,STAR,0.000267603
1.23765E+18,192.4380173,0.113327402,19.38708,18.4923,18.18142,18.04972,18.01251,4.3336E+18,STAR,0.000157304
1.23767E+18,255.2571856,28.0894296,16.21493,15.02751,14.58904,14.44668,14.40061,3.16159E+18,STAR,-0.000131428
1.23766E+18,190.9207601,12.65041942,18.30543,17.01041,17.07043,17.18438,17.22002,1.9074E+18,STAR,0.000804958
1.23767E+18,46.39502778,37.68835921,16.2432,15.0197,14.64318,14.52184,14.48755,2.74836E+18,STAR,5.38E-06
1.23767E+18,146.2281358,26.25723161,18.74103,17.84229,17.55827,17.46754,17.43307,6.52036E+18,STAR,0.000277343
1.23765E+18,35.06369563,-7.898551587,18.50747,17.6188,17.25629,17.14391,17.09509,4.94858E+18,STAR,-3.04E-05
1.23765E+18,232.4461121,2.893099051,16.94583,15.72879,15.67023,15.67594,15.74031,6.67738E+17,STAR,-0.000132478
1.23767E+18,223.1245223,24.58314367,19.0769,17.61725,17.00343,16.72418,16.58626,3.81353E+18,STAR,-0.000263912
1.23766E+18,117.7073979,31.71574621,19.17148,18.2102,17.84552,17.67961,17.6302,1.15869E+19,STAR,0.000449248
1.23767E+18,71.02105752,20.60254737,17.37423,15.74167,14.97723,14.62196,14.43927,3.0186E+18,STAR,-8.81E-05
1.23766E+18,163.377157,49.12969052,19.19804,17.96106,17.49035,17.31394,17.23811,2.69101E+18,STAR,-6.60E-05
1.23766E+18,17.01721403,0.077958642,18.48623,17.36149,17.47331,17.62234,17.77494,2.60434E+18,STAR,-0.00052602
1.23767E+18,71.38373998,10.89178266,19.06726,17.60888,16.85866,16.52236,16.31301,3.00507E+18,STAR,-4.70E-05
1.23767E+18,46.72007002,-0.489749003,17.9369,16.19223,15.4631,15.19718,15.07026,8.16849E+18,STAR,-0.000156074
1.23767E+18,259.2511239,-13.35409874,18.11539,16.58342,15.60398,15.16885,14.85351,2.85422E+18,STAR,-6.61E-05
1.23765E+18,58.65406775,-5.245248686,19.07558,17.98073,17.59928,17.42141,17.36009,8.16631E+18,STAR,0.000887725
1.23766E+18,240.6890594,5.8116663,17.70621,16.32317,15.71102,15.46089,15.31548,2.44895E+18,STAR,-0.000289511
1.23766E+18,323.0937816,-0.284529502,17.06326,16.16283,15.85414,15.73727,15.69809,2.20794E+18,STAR,-0.000809252
1.23766E+18,54.0803429,0.36659718,19.23662,17.62888,16.98248,16.73539,16.56726,2.30714E+18,STAR,-0.000104708
1.23766E+18,130.8806339,24.88342655,17.64091,16.70114,16.38617,16.26726,16.22841,1.25146E+19,STAR,0.000373605
1.23767E+18,190.64671,19.49144823,19.33186,18.23375,18.20782,18.26816,18.37046,2.942E+18,STAR,0.000722341
1.23766E+18,157.0745524,54.79036109,18.15633,16.87316,16.29618,16.0492,15.9518,3.57597E+18,STAR,-0.000466853
1.23767E+18,37.67196874,-9.273954052,19.1235,18.23315,17.95344,17.87269,17.83922,2.32726E+18,STAR,-0.000261963
1.23768E+18,43.65322397,0.737765011,18.10457,16.94255,16.55393,16.40425,16.36256,1.70247E+18,STAR,0.000126608
1.23766E+18,115.8001099,18.11315515,19.24821,18.0342,17.97225,18.01281,18.05323,2.33517E+18,STAR,9.03E-05
1.23767E+18,233.8627865,24.06392645,19.5549,18.59258,18.19768,18.04537,17.99113,4.44525E+18,STAR,-0.000573004
1.23767E+18,258.8574364,41.47998435,19.04148,17.74042,17.20941,17.01433,16.94116,2.52994E+18,STAR,4.13E-05
1.23766E+18,142.8686554,42.07423341,19.19483,16.96308,16.11236,15.80895,15.64238,3.67609E+18,STAR,-0.000122857
1.23766E+18,356.0727646,14.91671363,17.94129,16.99714,16.64369,16.51958,16.47318,2.13372E+18,STAR,-0.000352506
1.23766E+18,141.005231,10.16977342,17.46413,15.94736,15.30438,15.04117,14.90507,3.73696E+18,STAR,0.000576015
1.23768E+18,340.2858639,24.35191111,19.55851,18.57013,18.22483,18.08953,18.02646,7.09095E+18,STAR,-0.000715901
1.23765E+18,175.6043118,-1.001839416,17.1477,16.22602,15.95482,15.86564,15.82776,3.18701E+17,STAR,0.000372127
1.23765E+18,354.8229344,15.48345211,19.17464,17.7174,17.15993,16.94205,16.81332,2.13255E+18,STAR,-0.000224024
1.23767E+18,308.6693926,15.07361099,17.85673,16.4473,15.91582,15.8743,15.65003,2.53226E+18,STAR,-0.000154633
1.23766E+18,169.3056691,8.384658558,18.94988,17.99787,17.6907,17.58565,17.59474,2.69429E+18,STAR,0.00051415
1.23765E+18,127.4791482,49.32585373,17.27399,16.16246,16.15,16.13843,16.16081,8.23038E+18,STAR,0.000153585
1.23767E+18,54.77149509,0.72106285,19.57625,17.34746,16.38794,16.04469,15.82774,8.25417E+18,STAR,-8.78E-05
1.23768E+18,13.92271365,23.03189798,18.87255,18.00314,17.6761,17.56024,17.51738,6.41784E+18,STAR,-0.000503369
1.23766E+18,215.8117175,45.83214612,17.36693,15.99565,15.48061,15.29951,15.23208,3.27309E+18,STAR,-0.000338302
1.23767E+18,163.8140289,29.44168346,18.45662,17.47621,17.15381,17.02758,16.94122,3.67397E+18,STAR,0.000392673
1.23766E+18,323.1350929,11.32208303,18.92613,17.89853,17.53033,17.42594,17.33364,2.20679E+18,STAR,-0.000436001
1.23767E+18,105.9899946,13.5568539,18.93137,17.7965,17.47555,17.35653,17.31998,3.07047E+18,STAR,0.000141705
1.23767E+18,302.240506,-11.64146799,16.34566,14.99146,14.86566,14.87952,14.91356,2.59298E+18,STAR,8.76E-05
1.23766E+18,40.14663391,0.196155051,18.35073,17.39924,17.07033,16.94187,16.89762,7.636E+18,STAR,2.91E-05
1.23766E+18,197.748758,43.44555292,19.1106,18.18446,17.91219,17.78561,17.75934,9.43174E+18,STAR,-0.000192079
1.23767E+18,189.0617149,24.58587875,19.50276,18.6557,18.36855,18.25578,18.26676,3.7989E+18,STAR,0.00047322
1.23767E+18,122.6162677,8.287222012,17.21159,15.93977,15.53296,15.43188,15.41096,2.89372E+18,STAR,0.000102571
