objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23766E+18,167.7055599,56.83615303,19.39013,18.44273,18.12531,17.76843,17.75105,1.02246E+18,GALAXY,0.07117328
1.23766E+18,231.0761913,9.85749651,17.76534,16.35532,15.63678,15.23748,14.94681,1.93655E+18,GALAXY,0.07195336
1.23765E+18,261.1747771,57.16487424,17.18356,15.86594,15.23692,14.90518,14.65296,4.03164E+17,GALAXY,0.03056755
1.23766E+18,134.8577219,41.2092691,19.57649,17.66656,16.77605,16.34868,16.01709,9.34503E+17,GALAXY,0.06871896
1.23766E+18,250.1319299,23.75273456,19.05062,17.67412,17.03693,16.6758,16.41008,1.59211E+18,GALAXY,0.08952272
1.23767E+18,192.0311057,27.19241857,18.57757,17.50002,17.08158,16.8389,16.8068,2.52209E+18,GALAXY,0
1.23767E+18,355.4689005,32.28077619,19.17948,17.24928,16.25093,15.79438,15.41869,8.03563E+18,GALAXY,0.1001746
1.23766E+18,122.5308727,20.92787556,19.27787,17.19014,16.08995,15.63862,15.30299,2.16628E+18,GALAXY,0.1438516
1.23765E+18,6.127793257,14.96534816,19.34505,17.43696,16.5051,16.09304,15.75328,8.47847E+17,GALAXY,0.06959408
1.23766E+18,228.4348147,44.72600655,19.2605,18.03771,17.33744,16.95667,16.69755,1.18225E+18,GALAXY,0.1174294
1.23765E+18,181.8160049,-0.51788527,19.15226,17.39037,16.56635,16.16496,15.88268,3.23217E+17,GALAXY,0.06299831
1.23766E+18,168.1836013,45.18739758,17.7838,16.53547,15.9833,15.69561,15.49823,1.61907E+18,GALAXY,0.02335993
1.23766E+18,257.0656185,29.14753152,19.51356,17.7222,16.59608,16.09346,15.69241,5.6297E+18,GALAXY,0.1182745
1.23767E+18,17.47763101,17.60627422,19.50209,17.55528,16.65456,16.2274,15.90894,8.58167E+18,GALAXY,0.06479724
1.23766E+18,154.7795944,34.79759125,19.57711,17.615,16.68779,16.27533,15.93898,2.20127E+18,GALAXY,0.09553573
1.23765E+18,144.1590513,53.5081486,19.0928,17.95644,17.4456,17.12328,16.92162,8.64823E+17,GALAXY,0.0464109
1.23767E+18,216.4058672,23.81857322,18.85347,17.92983,17.71591,17.46572,17.48988,2.40047E+18,GALAXY,0.06164324
1.23766E+18,217.7278575,54.68840266,19.42409,18.025,17.17599,16.7371,16.48449,1.30837E+18,GALAXY,0.1492013
1.23766E+18,167.4384644,9.731740205,19.0826,17.76782,17.17411,16.81713,16.67679,1.37487E+18,GALAXY,0.06963494
1.23765E+18,159.4379639,2.840000963,19.58677,18.30756,17.40045,16.95098,16.6408,5.68738E+17,GALAXY,0.1436534
1.23767E+18,220.2513118,18.74488386,19.48781,18.34059,17.77647,17.50352,17.21361,3.12439E+18,GALAXY,0.1143559
1.23765E+18,163.6619139,1.786469,19.22224,17.41216,16.89569,16.60867,16.36947,5.70849E+17,GALAXY,0.03941313
1.23766E+18,204.0687159,39.18139027,18.24936,16.3283,15.40581,14.98988,14.66847,2.25757E+18,GALAXY,0.08087814
1.23766E+18,207.9491656,46.21922778,19.32843,17.43713,16.57868,16.15766,15.8184,1.65068E+18,GALAXY,0.0622866
1.23767E+18,153.8220898,21.44823414,18.83864,18.02661,17.69867,17.41308,17.29828,2.6628E+18,GALAXY,0.1107795
1.23766E+18,148.6901744,9.148925515,19.55783,17.67724,16.68685,16.25031,15.89254,1.47043E+18,GALAXY,0.0977838
1.23767E+18,120.829116,8.780932325,18.18734,16.21664,15.35092,14.92936,14.6236,2.72359E+18,GALAXY,0.05116676
1.23766E+18,143.4731785,9.204690856,18.16638,17.33691,17.21625,17.05735,17.0133,1.46823E+18,GALAXY,0.007795493
1.23766E+18,224.4702394,48.68846819,18.91103,17.69384,17.16469,16.85143,16.69634,1.18009E+18,GALAXY,0.07533099
1.23766E+18,220.4622232,-1.392397131,17.37965,16.12557,15.65075,15.39279,15.28091,4.5331E+18,GALAXY,0.006022938
1.23765E+18,142.7327552,54.81785998,17.7742,16.5188,15.96854,15.67078,15.43113,6.24922E+17,GALAXY,0.04736163
1.23765E+18,226.5740094,-0.528290866,19.33347,18.00819,17.36106,16.97413,16.74179,3.49068E+17,GALAXY,0.09017824
1.23767E+18,198.8311091,28.61554005,19.25924,17.71097,16.8196,16.39294,16.06222,2.25414E+18,GALAXY,0.1214063
1.23767E+18,192.1292472,4.600170072,19.4799,18.30895,17.90053,17.62177,17.4539,9.53685E+17,GALAXY,0.08067184
1.23766E+18,124.9920066,52.11080682,18.90838,16.94002,15.99693,15.54805,15.22755,4.15464E+18,GALAXY,0.06460005
1.23766E+18,124.9131862,53.74206835,18.56461,17.4982,17.16508,16.93699,16.75888,2.00537E+18,GALAXY,0.04236529
1.23767E+18,184.9526813,26.28564801,19.24793,18.16722,17.59293,17.31651,17.18003,2.51191E+18,GALAXY,0.02302187
1.23767E+18,244.4900598,16.52739908,19.21887,17.31589,16.34627,15.89349,15.56292,2.47489E+18,GALAXY,0.1133188
1.23766E+18,193.8567891,9.285790167,19.42556,17.52726,16.61909,16.20679,15.90016,2.01652E+18,GALAXY,0.08274483
1.23765E+18,129.3326226,47.15100091,17.78048,16.02448,15.21688,14.78546,14.46734,6.19305E+17,GALAXY,0.05178822
1.23766E+18,132.2210135,33.23770791,18.14887,16.86798,16.20634,15.81737,15.55395,1.3624E+18,GALAXY,0.07484099
1.23766E+18,185.4779046,65.82298227,18.54532,17.22392,16.45246,16.01317,15.73575,6.74582E+17,GALAXY,0.1243915
1.23765E+18,126.8157377,48.7207264,18.46851,16.94158,16.22906,15.80147,15.51228,4.98816E+17,GALAXY,0.07186228
1.23766E+18,162.5802664,43.95919169,19.49172,17.90909,17.13592,16.76946,16.4966,1.53358E+18,GALAXY,0.07899151
1.23766E+18,244.1618804,33.51857295,18.07037,16.84597,16.28484,15.96462,15.72381,1.8949E+18,GALAXY,0.03376226
1.23766E+18,235.327511,31.47294933,18.10496,16.69378,16.05248,15.68147,15.45371,1.78011E+18,GALAXY,0.055755
1.23766E+18,226.4119685,1.085738928,19.07901,17.59899,16.79912,16.40939,16.09986,3.50247E+17,GALAXY,0.09968865
