objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23767E+18,123.4333731,17.18424403,19.48897,18.90761,18.99948,18.74921,18.63643,2.55479E+18,QSO,0.581732
1.23766E+18,239.174934,34.88256426,19.40462,19.08974,19.11046,19.18885,18.96196,1.20911E+19,QSO,0.7921746
1.23766E+18,138.1261352,34.16670868,19.20428,18.86376,18.78188,18.75671,18.55365,1.43332E+18,QSO,0.871866
1.23766E+18,152.0391281,35.15778892,19.09804,18.73236,18.6461,18.69793,18.53345,2.19668E+18,QSO,0.8221548
1.23766E+18,183.3983512,65.9220353,19.23063,19.15952,18.88415,18.76218,18.85173,6.74541E+17,QSO,1.093315
1.23765E+18,159.1651594,2.43153491,19.56373,19.15932,18.77208,18.80295,18.75098,5.68713E+17,QSO,1.051779
1.23768E+18,335.0093536,30.71556458,19.39366,19.27465,19.21305,19.02712,18.90022,8.68195E+18,QSO,1.927863
1.23766E+18,194.5221451,51.36863157,18.70621,18.51233,18.52236,18.2738,18.29218,9.97553E+17,QSO,1.825488
1.23766E+18,158.7477086,12.14250778,19.43037,19.21229,19.16124,18.9371,19.02598,1.80153E+18,QSO,1.608925
1.23767E+18,156.1866768,19.2056735,18.44746,18.03676,17.99086,18.17992,18.04082,1.07738E+19,QSO,0.8276515
1.23765E+18,81.02593105,2.453131931,16.56457,15.51298,15.07091,14.95203,14.90816,8.17536E+18,QSO,5.657529
1.23766E+18,193.8963297,56.87766335,19.18186,19.14228,19.12118,18.91877,18.93005,1.484E+18,QSO,1.807632
1.23766E+18,166.1204208,47.92967457,19.41316,19.23269,19.05823,19.11288,19.03325,1.08543E+18,QSO,1.003663
1.23766E+18,242.4509096,4.581361281,18.75805,17.33532,16.66092,16.19368,15.93707,2.05257E+18,QSO,0.06398267
1.23766E+18,258.6897532,30.60778075,19.43985,19.23624,19.1266,19.0465,18.99692,1.31213E+19,QSO,0.8606628
1.23768E+18,30.33008201,-6.290277379,19.02455,19.11446,18.61143,18.49007,18.38189,8.1494E+18,QSO,1.442775
1.23767E+18,123.6029148,14.04719098,19.11444,18.90983,18.7329,18.61645,18.41583,2.55586E+18,QSO,1.144692
1.23766E+18,137.6552717,49.04937781,19.22191,19.1018,18.9324,19.00359,19.21926,8.61344E+17,QSO,1.166928
1.23766E+18,160.9877109,9.762287539,17.80574,17.81324,17.78645,17.83271,17.2458,2.41742E+18,QSO,0.3421878
1.23766E+18,187.711548,39.42691074,18.38475,18.24863,18.11296,18.11418,17.93988,2.24294E+18,QSO,1.025347
1.23766E+18,213.2153344,42.84168087,19.23879,19.11208,18.92809,19.07899,19.23065,1.56956E+18,QSO,1.094062
