objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23766E+18,236.2010643,45.84419866,16.82026,17.18962,17.70064,18.08115,18.42403,6.79149E+18,STAR,-7.78E-05
1.23767E+18,114.348881,15.66456641,18.7808,17.87097,17.54474,17.39893,17.36909,3.05457E+18,STAR,-0.000330671
1.23767E+18,1.50720985,-4.297428126,18.36312,16.24701,15.51058,15.28649,15.18013,2.95451E+18,STAR,-0.000101341
1.23767E+18,253.3147549,13.65109086,16.99986,15.3753,14.7749,14.58045,14.50611,3.14816E+18,STAR,1.25E-05
1.23767E+18,45.88969398,38.14049631,19.27349,18.16408,17.77154,17.60456,17.62485,2.74845E+18,STAR,-7.97E-05
1.23765E+18,158.0041256,59.43294137,17.70528,16.60789,16.3057,16.21696,16.19328,6.29553E+17,STAR,-0.00013359
1.23767E+18,156.9112105,17.87380311,16.26135,15.16922,14.8597,14.74886,14.74402,3.21234E+18,STAR,2.57E-06
1.23767E+18,173.1753943,-7.283165635,18.23828,17.03434,17.16174,17.29739,17.4198,3.22136E+18,STAR,4.86E-05
1.23766E+18,118.5055408,27.89070472,19.48914,18.08651,17.52913,17.33498,17.28842,3.63342E+18,STAR,-9.37E-05
1.23767E+18,98.24174014,27.40247053,19.08571,17.80824,17.28347,17.0809,16.9714,3.03555E+18,STAR,1.48E-05
1.23767E+18,78.42907004,16.48688125,17.28925,15.91511,15.33933,15.11849,14.99581,3.00398E+18,STAR,7.86E-05
1.23767E+18,207.3492361,16.67350085,18.76895,17.92523,16.80817,16.73902,16.07104,3.08737E+18,STAR,-9.93E-05
1.23767E+18,267.7073325,25.53738265,17.69216,16.3796,15.83094,15.62023,15.51008,2.458E+18,STAR,-0.000309669
1.23765E+18,261.7833424,25.68589171,18.56382,17.1201,16.56429,16.34242,16.25107,2.45674E+18,STAR,-0.000257744
1.23767E+18,331.4636216,7.044266379,18.28615,16.89313,16.21643,15.93498,15.75944,3.53661E+18,STAR,-0.000842763
1.23766E+18,216.7669415,44.49290891,19.20244,17.78854,17.26103,17.0388,16.90781,3.27305E+18,STAR,-4.25E-05
1.23767E+18,47.39250504,38.3285322,18.61124,16.37102,15.5017,15.15686,14.97696,2.74849E+18,STAR,0.00010049
1.23767E+18,249.6134793,48.68591709,19.05989,18.08567,17.76931,17.64363,17.61366,9.0703E+18,STAR,-0.00074865
1.23767E+18,187.954347,36.05485147,18.4045,17.4729,17.18772,17.05997,17.01028,4.46773E+18,STAR,-0.000177926
1.23766E+18,153.7740774,8.326292253,19.11013,17.89788,17.3814,17.16816,17.02057,3.55226E+18,STAR,0.000969769
1.23767E+18,17.9992495,15.96032987,16.87251,15.32631,14.7355,14.45001,14.35694,3.15716E+18,STAR,-0.000187015
1.23766E+18,241.1885009,33.39990585,19.07319,17.96669,17.56966,17.41533,17.349,1.59656E+18,STAR,-0.000728087
1.23767E+18,159.797012,23.44222189,19.07207,17.61031,17.03198,16.80316,16.68659,3.65922E+18,STAR,4.73E-05
1.23766E+18,218.2491332,13.12802264,19.2337,18.36939,18.06991,17.96037,17.89726,6.15106E+18,STAR,-0.000599054
1.23765E+18,60.24319844,-4.805564185,19.11377,18.03732,17.56645,17.3502,17.28886,8.1664E+18,STAR,0.000928375
1.23767E+18,22.03887237,38.90065521,18.67847,17.12115,16.53121,16.32346,16.25539,2.29924E+18,STAR,-0.000233971
